,Labels,MAL,NV,BCC,AK,BK,DF,SCC
0,0.0,0.27880859375,0.0270233154296875,0.248046875,0.1041259765625,0.1519775390625,0.02587890625,0.1639404296875
1,0.0,0.313232421875,0.1651611328125,0.12091064453125,0.042572021484375,0.30126953125,0.0268707275390625,0.0298614501953125
2,0.0,0.400390625,0.499267578125,0.0406494140625,0.001361846923828125,0.0511474609375,0.005008697509765625,0.00238037109375
3,0.0,0.1844482421875,0.74951171875,0.03790283203125,0.0017080307006835938,0.01001739501953125,0.01554107666015625,0.0009250640869140625
4,0.0,0.0303955078125,0.125732421875,0.1412353515625,0.226806640625,0.464599609375,0.0033721923828125,0.00785064697265625
5,0.0,0.26806640625,0.27392578125,0.2464599609375,0.00904083251953125,0.1773681640625,0.0129241943359375,0.0121612548828125
6,0.0,0.343017578125,0.0670166015625,0.09613037109375,0.09735107421875,0.2266845703125,0.04901123046875,0.120849609375
7,0.0,0.76025390625,0.1463623046875,0.029296875,0.003192901611328125,0.031280517578125,0.0178070068359375,0.01168060302734375
8,0.0,0.089111328125,0.048004150390625,0.43115234375,0.13623046875,0.0150604248046875,0.1387939453125,0.1417236328125
9,0.0,0.01332855224609375,0.005466461181640625,0.45947265625,0.35009765625,0.0245819091796875,0.028900146484375,0.1180419921875
10,0.0,0.419189453125,0.403076171875,0.0765380859375,0.0016412734985351562,0.09307861328125,0.0037059783935546875,0.0028018951416015625
11,0.0,0.4521484375,0.00910186767578125,0.043121337890625,0.10797119140625,0.067138671875,0.0218505859375,0.298828125
12,0.0,0.0574951171875,0.01239776611328125,0.27197265625,0.486083984375,0.042205810546875,0.019989013671875,0.1097412109375
13,0.0,0.12188720703125,0.11083984375,0.047698974609375,0.62744140625,0.0543212890625,0.01146697998046875,0.026519775390625
14,0.0,0.1239013671875,0.34375,0.186279296875,0.01031494140625,0.33056640625,0.0020751953125,0.0031909942626953125
15,0.0,0.0899658203125,0.041168212890625,0.163330078125,0.1927490234375,0.4404296875,0.0230255126953125,0.049285888671875
16,0.0,0.904296875,0.07177734375,0.00838470458984375,0.0024738311767578125,0.00919342041015625,0.0006794929504394531,0.0032520294189453125
17,0.0,0.251953125,0.032928466796875,0.1541748046875,0.1427001953125,0.0128326416015625,0.0723876953125,0.3330078125
18,0.0,0.310791015625,0.6220703125,0.0343017578125,0.00124359130859375,0.018890380859375,0.01044464111328125,0.0022563934326171875
19,0.0,0.77734375,0.2064208984375,0.00978851318359375,8.499622344970703e-05,0.005126953125,0.0009593963623046875,0.0002644062042236328
20,0.0,0.369140625,0.01334381103515625,0.09991455078125,0.052764892578125,0.01552581787109375,0.043365478515625,0.40576171875
21,0.0,0.3408203125,0.0989990234375,0.47802734375,0.006443023681640625,0.03839111328125,0.01317596435546875,0.024169921875
22,0.0,0.0164337158203125,0.97802734375,0.00036263465881347656,6.735324859619141e-06,0.004985809326171875,4.315376281738281e-05,5.960464477539062e-07
23,0.0,0.736328125,0.09918212890625,0.0426025390625,0.00727081298828125,0.08404541015625,0.0107879638671875,0.019622802734375
24,0.0,0.76513671875,0.0675048828125,0.087646484375,0.005184173583984375,0.00974273681640625,0.0299224853515625,0.034881591796875
25,0.0,0.470458984375,0.0273590087890625,0.0977783203125,0.08160400390625,0.1639404296875,0.01922607421875,0.1396484375
26,0.0,0.1488037109375,0.298828125,0.08526611328125,0.06787109375,0.377685546875,0.01274871826171875,0.00901031494140625
27,0.0,0.465087890625,0.050872802734375,0.11279296875,0.1064453125,0.06787109375,0.039154052734375,0.1578369140625
28,0.0,0.25830078125,0.28076171875,0.195068359375,0.03302001953125,0.052490234375,0.1435546875,0.03680419921875
29,0.0,0.075927734375,0.916015625,0.004383087158203125,0.0012950897216796875,0.001651763916015625,0.0006628036499023438,0.00010192394256591797
30,0.0,0.5869140625,0.0714111328125,0.08697509765625,0.03253173828125,0.10028076171875,0.0364990234375,0.08538818359375
31,0.0,0.01390838623046875,0.90234375,0.022491455078125,0.001232147216796875,0.059295654296875,0.0004954338073730469,4.9591064453125e-05
32,0.0,0.10394287109375,0.2305908203125,0.15380859375,0.026641845703125,0.026336669921875,0.427978515625,0.030792236328125
33,0.0,0.0843505859375,0.89306640625,0.007450103759765625,0.005313873291015625,0.007354736328125,0.00238800048828125,0.00023102760314941406
34,0.0,0.424560546875,0.5537109375,0.006038665771484375,0.00015401840209960938,0.01212310791015625,0.0030269622802734375,0.00020968914031982422
35,0.0,0.039306640625,0.1717529296875,0.10894775390625,0.51953125,0.11663818359375,0.0202789306640625,0.0235748291015625
36,0.0,0.440673828125,0.31201171875,0.03692626953125,0.0002789497375488281,0.20703125,0.0017948150634765625,0.0012645721435546875
37,0.0,0.0110015869140625,0.0012340545654296875,0.71044921875,0.045684814453125,0.0029430389404296875,0.007904052734375,0.220947265625
38,0.0,0.2403564453125,0.50634765625,0.09100341796875,0.0010614395141601562,0.1278076171875,0.02911376953125,0.004222869873046875
39,0.0,0.007724761962890625,0.982421875,0.003177642822265625,1.704692840576172e-05,0.0011882781982421875,0.005218505859375,9.000301361083984e-06
